pair,her_age,her_field,her_race,her_racepref,her_religpref,her_income,her_goal,her_datefreq,her_outfreq,her_optimism,her_wantattr,her_wantsinc,her_wantintel,her_wantfun,her_wantamb,her_wantshar,her_selfattr,her_selfsinc,her_selffun,her_selfintel,her_selfamb,his_age,his_field,his_race,his_racepref,his_religpref,his_income,his_goal,his_datefreq,his_outfreq,his_optimism,his_wantattr,his_wantsinc,his_wantintel,his_wantfun,his_wantamb,his_wantshar,his_selfattr,his_selfsinc,his_selffun,his_selfintel,his_selfamb,her_dec,his_dec,wave,samerace,interests,match,her_noincome,his_noincome,agegap,agediff,her_fit,his_fit,passions,samefield,samecareer,samegoal,outgap,dategap,racepref_max,religpref_max,fold
"(78, 107)",23.0,11.0,3.0,1.0,4.0,30973.0,2.0,7.0,3.0,7.0,10.0,25.0,20.0,10.0,20.0,15.0,3.0,10.0,3.0,8.0,8.0,21.0,7.0,2.0,1.0,1.0,74893.0,1.0,4.0,1.0,6.0,19.0,24.0,21.0,23.0,5.0,8.0,7.0,9.0,9.0,9.0,6.0,1,1,4,0,0.65,1,0,0,2.0,2.0,6.85,5.74,3,0,0,0,2.0,3.0,1.0,4.0,4
"(78, 108)",23.0,11.0,3.0,1.0,4.0,30973.0,2.0,7.0,3.0,7.0,10.0,25.0,20.0,10.0,20.0,15.0,3.0,10.0,3.0,8.0,8.0,24.0,5.0,2.0,1.0,1.0,,1.0,6.0,3.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,0,0,4,0,0.51,0,0,1,1.0,-1.0,4.5,5.7,0,0,0,0,0.0,1.0,1.0,4.0,4
"(78, 109)",23.0,11.0,3.0,1.0,4.0,30973.0,2.0,7.0,3.0,7.0,10.0,25.0,20.0,10.0,20.0,15.0,3.0,10.0,3.0,8.0,8.0,25.0,14.0,4.0,1.0,1.0,,1.0,4.0,1.0,5.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,1,1,4,0,0.59,1,0,1,2.0,-2.0,7.05,4.55,4,0,0,0,2.0,3.0,1.0,4.0,4
"(78, 110)",23.0,11.0,3.0,1.0,4.0,30973.0,2.0,7.0,3.0,7.0,10.0,25.0,20.0,10.0,20.0,15.0,3.0,10.0,3.0,8.0,8.0,28.0,14.0,2.0,4.0,6.0,52804.0,2.0,6.0,1.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,0,0,4,0,0.79,0,0,0,5.0,-5.0,6.75,4.65,2,0,0,1,2.0,1.0,4.0,6.0,4
"(78, 111)",23.0,11.0,3.0,1.0,4.0,30973.0,2.0,7.0,3.0,7.0,10.0,25.0,20.0,10.0,20.0,15.0,3.0,10.0,3.0,8.0,8.0,27.0,8.0,4.0,7.0,1.0,,5.0,5.0,1.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,8.0,5.0,8.0,5.0,0,0,4,0,0.56,0,0,1,4.0,-4.0,5.6,5.6,6,0,0,0,2.0,2.0,7.0,4.0,4
"(79, 94)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,28.0,8.0,4.0,6.0,8.0,,2.0,6.0,3.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,0,0,4,1,0.27,0,1,1,2.0,-2.0,6.95,6.1,2,0,0,1,2.0,1.0,8.0,8.0,4
"(79, 95)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,26.0,8.0,2.0,7.0,5.0,76624.0,1.0,5.0,2.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,0,0,4,0,-0.04,0,1,0,0.0,0.0,7.0,6.57,3,0,0,0,1.0,2.0,8.0,8.0,4
"(79, 96)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,26.0,5.0,3.0,3.0,6.0,,1.0,7.0,1.0,7.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,0,1,4,0,0.49,0,1,1,0.0,0.0,7.45,6.08,6,1,0,0,0.0,0.0,8.0,8.0,4
"(79, 97)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,29.0,10.0,2.0,4.0,1.0,35968.0,2.0,5.0,2.0,5.0,50.0,7.0,20.0,23.0,0.0,0.0,7.0,5.0,7.0,6.0,6.0,1,0,4,0,-0.27,0,1,0,3.0,-3.0,5.2,7.37,0,0,0,1,1.0,2.0,8.0,8.0,4
"(79, 98)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,39.0,11.0,2.0,1.0,1.0,51725.0,4.0,4.0,2.0,5.0,40.0,20.0,15.0,20.0,0.0,5.0,8.0,8.0,8.0,8.0,8.0,0,1,4,0,0.13,0,1,0,13.0,-13.0,6.8,7.25,2,0,0,0,1.0,3.0,8.0,8.0,4
"(79, 99)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,28.0,1.0,2.0,1.0,1.0,55419.0,3.0,3.0,2.0,8.0,30.0,30.0,20.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,8.0,0,1,4,0,0.9,0,1,0,2.0,-2.0,8.1,7.7,7,0,0,0,1.0,4.0,8.0,8.0,4
"(79, 100)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,30.0,8.0,6.0,8.0,9.0,,1.0,3.0,2.0,5.0,20.0,25.0,25.0,15.0,5.0,10.0,7.0,8.0,8.0,9.0,6.0,0,0,4,0,0.56,0,1,1,4.0,-4.0,6.45,6.95,0,0,0,0,1.0,4.0,8.0,9.0,4
"(79, 101)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,22.0,8.0,4.0,3.0,2.0,,3.0,4.0,3.0,7.0,40.0,8.0,10.0,12.0,10.0,20.0,8.0,8.0,8.0,9.0,9.0,0,1,4,1,0.35,0,1,1,4.0,4.0,7.15,5.88,6,0,0,0,2.0,3.0,8.0,8.0,4
"(79, 102)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,32.0,10.0,2.0,2.0,6.0,,1.0,4.0,4.0,6.0,30.0,10.0,30.0,20.0,10.0,0.0,8.0,5.0,7.0,10.0,9.0,0,0,4,0,-0.15,0,1,1,6.0,-6.0,6.5,7.4,2,0,0,0,3.0,3.0,8.0,8.0,4
"(79, 103)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,26.0,8.0,2.0,8.0,9.0,55550.0,2.0,4.0,1.0,6.0,40.0,5.0,20.0,10.0,10.0,15.0,8.0,8.0,8.0,9.0,9.0,0,0,4,0,-0.18,0,1,0,0.0,0.0,7.15,6.15,4,0,0,1,0.0,3.0,8.0,9.0,4
"(79, 104)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,27.0,10.0,2.0,6.0,8.0,26682.0,2.0,5.0,3.0,8.0,20.0,15.0,25.0,15.0,20.0,5.0,9.0,8.0,7.0,9.0,9.0,1,1,4,0,0.42,1,1,0,1.0,-1.0,7.05,7.1,5,0,0,1,2.0,2.0,8.0,8.0,4
"(79, 105)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,25.0,1.0,1.0,1.0,1.0,41547.0,2.0,7.0,1.0,5.0,30.0,15.0,20.0,20.0,0.0,5.0,8.0,7.0,9.0,8.0,6.0,1,0,4,0,0.03,0,1,0,1.0,1.0,6.4,6.45,1,0,0,1,0.0,0.0,8.0,8.0,4
"(79, 106)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,22.0,1.0,3.0,1.0,3.0,23361.0,5.0,7.0,3.0,5.0,10.0,20.0,35.0,10.0,5.0,20.0,4.0,7.0,3.0,9.0,2.0,0,1,4,0,0.24,0,1,0,4.0,4.0,4.15,6.1,3,0,0,0,2.0,0.0,8.0,8.0,4
"(79, 107)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,21.0,7.0,2.0,1.0,1.0,74893.0,1.0,4.0,1.0,6.0,19.0,24.0,21.0,23.0,5.0,8.0,7.0,9.0,9.0,9.0,6.0,1,1,4,0,0.52,1,1,0,5.0,5.0,6.85,7.15,2,0,0,0,0.0,3.0,8.0,8.0,4
"(79, 108)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,24.0,5.0,2.0,1.0,1.0,,1.0,6.0,3.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,1,1,4,0,0.6,1,1,1,2.0,2.0,4.05,6.55,0,1,1,0,2.0,1.0,8.0,8.0,4
"(79, 109)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,25.0,14.0,4.0,1.0,1.0,,1.0,4.0,1.0,5.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,0,1,4,1,0.8,0,1,1,1.0,1.0,6.95,5.2,6,0,0,0,0.0,3.0,8.0,8.0,4
"(79, 110)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,28.0,14.0,2.0,4.0,6.0,52804.0,2.0,6.0,1.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,0,0,4,0,0.54,0,1,0,2.0,-2.0,6.7,5.8,3,0,0,1,0.0,1.0,8.0,8.0,4
"(79, 111)",26.0,5.0,4.0,8.0,8.0,,2.0,7.0,1.0,5.0,10.0,20.0,15.0,20.0,20.0,15.0,7.0,9.0,8.0,7.0,7.0,27.0,8.0,4.0,7.0,1.0,,5.0,5.0,1.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,8.0,5.0,8.0,5.0,0,0,4,1,0.4,0,1,1,1.0,-1.0,5.3,6.9,6,0,0,0,0.0,2.0,8.0,8.0,4
"(80, 94)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,28.0,8.0,4.0,6.0,8.0,,2.0,6.0,3.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,0,0,4,1,0.61,0,1,1,1.0,-1.0,6.5,6.4,1,0,0,0,1.0,1.0,6.0,8.0,4
"(80, 95)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,26.0,8.0,2.0,7.0,5.0,76624.0,1.0,5.0,2.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,0,0,4,0,0.31,0,1,0,1.0,1.0,6.7,6.88,2,0,0,1,2.0,0.0,7.0,5.0,4
"(80, 96)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,26.0,5.0,3.0,3.0,6.0,,1.0,7.0,1.0,7.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,0,0,4,0,-0.36,0,1,1,1.0,1.0,7.0,6.24,1,0,1,1,3.0,2.0,3.0,6.0,4
"(80, 97)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,29.0,10.0,2.0,4.0,1.0,35968.0,2.0,5.0,2.0,5.0,50.0,7.0,20.0,23.0,0.0,0.0,7.0,5.0,7.0,6.0,6.0,1,0,4,0,0.23,0,1,0,2.0,-2.0,4.8,8.0,1,1,1,0,2.0,0.0,4.0,1.0,4
"(80, 98)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,39.0,11.0,2.0,1.0,1.0,51725.0,4.0,4.0,2.0,5.0,40.0,20.0,15.0,20.0,0.0,5.0,8.0,8.0,8.0,8.0,8.0,0,1,4,0,0.25,0,1,0,12.0,-12.0,6.4,7.6,1,0,1,0,2.0,1.0,3.0,1.0,4
"(80, 99)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,28.0,1.0,2.0,1.0,1.0,55419.0,3.0,3.0,2.0,8.0,30.0,30.0,20.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,8.0,1,0,4,0,0.14,0,1,0,1.0,-1.0,7.6,8.0,1,0,0,0,2.0,2.0,3.0,1.0,4
"(80, 100)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,30.0,8.0,6.0,8.0,9.0,,1.0,3.0,2.0,5.0,20.0,25.0,25.0,15.0,5.0,10.0,7.0,8.0,8.0,9.0,6.0,0,0,4,0,0.54,0,1,1,3.0,-3.0,6.1,7.2,0,0,1,1,2.0,2.0,8.0,9.0,4
"(80, 101)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,22.0,8.0,4.0,3.0,2.0,,3.0,4.0,3.0,7.0,40.0,8.0,10.0,12.0,10.0,20.0,8.0,8.0,8.0,9.0,9.0,0,1,4,1,-0.35,0,1,1,5.0,5.0,6.8,6.4,3,0,0,0,1.0,1.0,3.0,2.0,4
"(80, 102)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,32.0,10.0,2.0,2.0,6.0,,1.0,4.0,4.0,6.0,30.0,10.0,30.0,20.0,10.0,0.0,8.0,5.0,7.0,10.0,9.0,1,1,4,0,0.06,1,1,1,5.0,-5.0,6.3,8.0,1,1,1,1,0.0,1.0,3.0,6.0,4
"(80, 103)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,26.0,8.0,2.0,8.0,9.0,55550.0,2.0,4.0,1.0,6.0,40.0,5.0,20.0,10.0,10.0,15.0,8.0,8.0,8.0,9.0,9.0,1,0,4,0,0.38,0,1,0,1.0,1.0,6.8,6.8,3,0,0,0,3.0,1.0,8.0,9.0,4
"(80, 104)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,27.0,10.0,2.0,6.0,8.0,26682.0,2.0,5.0,3.0,8.0,20.0,15.0,25.0,15.0,20.0,5.0,9.0,8.0,7.0,9.0,9.0,1,0,4,0,-0.12,0,1,0,0.0,0.0,6.8,7.6,1,1,1,0,1.0,0.0,6.0,8.0,4
"(80, 105)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,25.0,1.0,1.0,1.0,1.0,41547.0,2.0,7.0,1.0,5.0,30.0,15.0,20.0,20.0,0.0,5.0,8.0,7.0,9.0,8.0,6.0,1,1,4,0,0.31,1,1,0,2.0,2.0,5.9,6.8,2,0,0,0,3.0,2.0,3.0,1.0,4
"(80, 106)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,22.0,1.0,3.0,1.0,3.0,23361.0,5.0,7.0,3.0,5.0,10.0,20.0,35.0,10.0,5.0,20.0,4.0,7.0,3.0,9.0,2.0,0,0,4,0,0.05,0,1,0,5.0,5.0,4.3,6.4,2,0,0,0,1.0,2.0,3.0,3.0,4
"(80, 107)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,21.0,7.0,2.0,1.0,1.0,74893.0,1.0,4.0,1.0,6.0,19.0,24.0,21.0,23.0,5.0,8.0,7.0,9.0,9.0,9.0,6.0,0,0,4,0,0.07,0,1,0,6.0,6.0,6.4,7.36,0,0,1,1,3.0,1.0,3.0,1.0,4
"(80, 108)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,24.0,5.0,2.0,1.0,1.0,,1.0,6.0,3.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,1,0,4,0,0.31,0,1,1,3.0,3.0,4.1,6.8,0,0,0,1,1.0,1.0,3.0,1.0,4
"(80, 109)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,25.0,14.0,4.0,1.0,1.0,,1.0,4.0,1.0,5.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,1,1,4,1,0.34,1,1,1,2.0,2.0,6.6,5.6,1,0,0,1,3.0,1.0,3.0,1.0,4
"(80, 110)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,28.0,14.0,2.0,4.0,6.0,52804.0,2.0,6.0,1.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,0,0,4,0,0.17,0,1,0,1.0,-1.0,6.3,6.0,0,0,0,0,3.0,1.0,4.0,6.0,4
"(80, 111)",27.0,10.0,4.0,3.0,1.0,,1.0,5.0,4.0,7.0,10.0,20.0,20.0,10.0,20.0,20.0,8.0,8.0,8.0,8.0,8.0,27.0,8.0,4.0,7.0,1.0,,5.0,5.0,1.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,8.0,5.0,8.0,5.0,0,0,4,1,0.07,0,1,1,0.0,0.0,5.2,7.2,2,0,0,0,3.0,0.0,7.0,1.0,4
"(81, 94)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,28.0,8.0,4.0,6.0,8.0,,2.0,6.0,3.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,6.0,9.0,9.0,9.0,7.0,0,1,4,0,0.6,0,0,1,0.0,0.0,6.5,5.9,2,0,0,0,1.0,1.0,6.0,9.0,4
"(81, 95)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,26.0,8.0,2.0,7.0,5.0,76624.0,1.0,5.0,2.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,7.0,9.0,8.0,10.0,7.0,0,1,4,1,-0.21,0,0,0,2.0,2.0,6.6,6.39,1,0,0,0,0.0,0.0,7.0,9.0,4
"(81, 96)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,26.0,5.0,3.0,3.0,6.0,,1.0,7.0,1.0,7.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,9.0,9.0,9.0,9.0,0,1,4,0,0.37,0,0,1,2.0,2.0,7.0,5.78,4,0,0,0,1.0,2.0,6.0,9.0,4
"(81, 97)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,29.0,10.0,2.0,4.0,1.0,35968.0,2.0,5.0,2.0,5.0,50.0,7.0,20.0,23.0,0.0,0.0,7.0,5.0,7.0,6.0,6.0,0,0,4,1,-0.04,0,0,0,1.0,-1.0,5.0,7.73,0,0,0,0,0.0,0.0,6.0,9.0,4
"(81, 98)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,39.0,11.0,2.0,1.0,1.0,51725.0,4.0,4.0,2.0,5.0,40.0,20.0,15.0,20.0,0.0,5.0,8.0,8.0,8.0,8.0,8.0,0,1,4,1,0.22,0,0,0,11.0,-11.0,6.4,7.25,1,0,0,0,0.0,1.0,6.0,9.0,4
"(81, 99)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,28.0,1.0,2.0,1.0,1.0,55419.0,3.0,3.0,2.0,8.0,30.0,30.0,20.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,8.0,1,1,4,1,0.61,1,0,0,0.0,0.0,7.6,7.4,4,0,0,0,0.0,2.0,6.0,9.0,4
"(81, 100)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,30.0,8.0,6.0,8.0,9.0,,1.0,3.0,2.0,5.0,20.0,25.0,25.0,15.0,5.0,10.0,7.0,8.0,8.0,9.0,6.0,0,1,4,0,0.65,0,0,1,2.0,-2.0,6.1,6.65,0,0,0,0,0.0,2.0,8.0,9.0,4
"(81, 101)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,22.0,8.0,4.0,3.0,2.0,,3.0,4.0,3.0,7.0,40.0,8.0,10.0,12.0,10.0,20.0,8.0,8.0,8.0,9.0,9.0,0,1,4,0,0.04,0,0,1,6.0,6.0,6.8,6.12,4,0,0,0,1.0,1.0,6.0,9.0,4
"(81, 102)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,32.0,10.0,2.0,2.0,6.0,,1.0,4.0,4.0,6.0,30.0,10.0,30.0,20.0,10.0,0.0,8.0,5.0,7.0,10.0,9.0,0,1,4,1,0.11,0,0,1,4.0,-4.0,6.5,7.5,2,0,0,0,2.0,1.0,6.0,9.0,4
"(81, 103)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,26.0,8.0,2.0,8.0,9.0,55550.0,2.0,4.0,1.0,6.0,40.0,5.0,20.0,10.0,10.0,15.0,8.0,8.0,8.0,9.0,9.0,0,1,4,1,0.2,0,0,0,2.0,2.0,6.8,6.45,2,0,0,0,1.0,1.0,8.0,9.0,4
"(81, 104)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,27.0,10.0,2.0,6.0,8.0,26682.0,2.0,5.0,3.0,8.0,20.0,15.0,25.0,15.0,20.0,5.0,9.0,8.0,7.0,9.0,9.0,1,1,4,1,0.53,1,0,0,1.0,1.0,6.7,7.0,3,0,0,0,1.0,0.0,6.0,9.0,4
"(81, 105)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,25.0,1.0,1.0,1.0,1.0,41547.0,2.0,7.0,1.0,5.0,30.0,15.0,20.0,20.0,0.0,5.0,8.0,7.0,9.0,8.0,6.0,0,1,4,0,-0.02,0,0,0,3.0,3.0,6.1,6.45,1,0,0,0,1.0,2.0,6.0,9.0,4
"(81, 106)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,22.0,1.0,3.0,1.0,3.0,23361.0,5.0,7.0,3.0,5.0,10.0,20.0,35.0,10.0,5.0,20.0,4.0,7.0,3.0,9.0,2.0,0,0,4,0,0.09,0,0,0,6.0,6.0,3.9,5.8,2,0,0,1,1.0,2.0,6.0,9.0,4
"(81, 107)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,21.0,7.0,2.0,1.0,1.0,74893.0,1.0,4.0,1.0,6.0,19.0,24.0,21.0,23.0,5.0,8.0,7.0,9.0,9.0,9.0,6.0,0,1,4,1,0.51,0,0,0,7.0,7.0,6.4,6.86,0,0,0,0,1.0,1.0,6.0,9.0,4
"(81, 108)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,24.0,5.0,2.0,1.0,1.0,,1.0,6.0,3.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,4.0,8.0,3.0,7.0,2.0,1,1,4,1,0.55,1,0,1,4.0,4.0,3.6,6.25,0,0,0,0,1.0,1.0,6.0,9.0,4
"(81, 109)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,25.0,14.0,4.0,1.0,1.0,,1.0,4.0,1.0,5.0,15.0,10.0,30.0,10.0,5.0,30.0,6.0,9.0,8.0,9.0,8.0,0,1,4,0,0.6,0,0,1,3.0,3.0,6.5,5.15,3,0,1,0,1.0,1.0,6.0,9.0,4
"(81, 110)",28.0,6.0,2.0,6.0,9.0,28317.0,5.0,5.0,2.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8.0,7.0,8.0,7.0,7.0,28.0,14.0,2.0,4.0,6.0,52804.0,2.0,6.0,1.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0,0,0,4,1,0.67,0,0,0,0.0,0.0,6.2,5.6,1,0,1,0,1.0,1.0,6.0,9.0,4
