pair,w_age,w_field,w_field_cd,w_undergra,w_mn_sat,w_tuition,w_race,w_imprace,w_imprelig,w_from,w_zipcode,w_income,w_goal,w_date,w_go_out,w_career,w_career_c,w_sports,w_tvsports,w_exercise,w_dining,w_museums,w_art,w_hiking,w_gaming,w_clubbing,w_reading,w_tv,w_theater,w_movies,w_concerts,w_music,w_shopping,w_yoga,w_exphappy,w_expnum,w_attr1_1,w_sinc1_1,w_intel1_1,w_fun1_1,w_amb1_1,w_shar1_1,w_attr4_1,w_sinc4_1,w_intel4_1,w_fun4_1,w_amb4_1,w_shar4_1,w_attr2_1,w_sinc2_1,w_intel2_1,w_fun2_1,w_amb2_1,w_shar2_1,w_attr3_1,w_sinc3_1,w_fun3_1,w_intel3_1,w_amb3_1,w_attr5_1,w_sinc5_1,w_intel5_1,w_fun5_1,w_amb5_1,w_order,w_round,m_age,m_field,m_field_cd,m_undergra,m_mn_sat,m_tuition,m_race,m_imprace,m_imprelig,m_from,m_zipcode,m_income,m_goal,m_date,m_go_out,m_career,m_career_c,m_sports,m_tvsports,m_exercise,m_dining,m_museums,m_art,m_hiking,m_gaming,m_clubbing,m_reading,m_tv,m_theater,m_movies,m_concerts,m_music,m_shopping,m_yoga,m_exphappy,m_expnum,m_attr1_1,m_sinc1_1,m_intel1_1,m_fun1_1,m_amb1_1,m_shar1_1,m_attr4_1,m_sinc4_1,m_intel4_1,m_fun4_1,m_amb4_1,m_shar4_1,m_attr2_1,m_sinc2_1,m_intel2_1,m_fun2_1,m_amb2_1,m_shar2_1,m_attr3_1,m_sinc3_1,m_fun3_1,m_intel3_1,m_amb3_1,m_attr5_1,m_sinc5_1,m_intel5_1,m_fun5_1,m_amb5_1,m_order,m_round,wave,position,samerace,int_corr,match
"(58, 67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,22.0,Law,1.0,,,,6.0,1.0,1.0,"Torrance, CA","90,503",47559.0,6.0,5.0,2.0,Lawyer or professional surfer,1.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,5.0,1.0,20.0,15.0,20.0,20.0,5.0,10.0,,,,,,,17.0,20.0,17.0,20.0,11.0,15.0,5.0,7.0,6.0,7.0,7.0,,,,,,5,10,3,7,0,,0
"(58, 68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,27.0,MFA Creative Writing,6.0,,,,1.0,1.0,1.0,"St. Louis, MO","63,034",53539.0,5.0,4.0,3.0,novelist,6.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,5.0,2.0,21.0,17.0,22.0,20.0,8.0,13.0,,,,,,,18.0,15.0,17.0,14.0,20.0,16.0,6.0,8.0,7.0,8.0,8.0,,,,,,10,10,3,7,0,,0
"(58, 69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,28.0,MBA,8.0,,,,2.0,2.0,2.0,"London, UK",0,,6.0,6.0,1.0,banker,7.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,3.0,0.0,50.0,10.0,30.0,10.0,0.0,0.0,,,,,,,20.0,10.0,40.0,20.0,10.0,0.0,5.0,9.0,5.0,8.0,8.0,,,,,,1,10,3,7,0,,0
"(58, 70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,26.0,MBA,8.0,,,,2.0,5.0,1.0,"Boston, MA","53,705",32159.0,5.0,2.0,1.0,Investment Banking,7.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,3.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,,,,,,,20.0,5.0,25.0,30.0,15.0,5.0,8.0,6.0,8.0,9.0,6.0,,,,,,6,10,3,7,0,,0
"(58, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,21.0,Law,1.0,,,,2.0,6.0,7.0,Minnesota,"55,345",53940.0,5.0,6.0,2.0,Pro Beach Volleyball,14.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,9.0,5.0,60.0,15.0,0.0,15.0,0.0,10.0,,,,,,,80.0,10.0,0.0,10.0,0.0,0.0,6.0,8.0,8.0,10.0,10.0,,,,,,4,10,3,7,0,,1
"(58, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,22.0,Engineering,5.0,,,,2.0,8.0,1.0,"Boston, MA","2,021",,5.0,6.0,1.0,Engineer or iBanker or consultant,7.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,9.0,21.0,20.0,19.0,20.0,10.0,10.0,,,,,,,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,8.0,8.0,,,,,,3,10,3,7,0,,0
"(58, 73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,22.0,MBA,8.0,,,,2.0,7.0,3.0,Chicago,"6,883",,6.0,4.0,2.0,Trading,7.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,2.0,4.0,30.0,10.0,20.0,30.0,0.0,10.0,,,,,,,20.0,10.0,20.0,30.0,10.0,10.0,7.0,7.0,8.0,7.0,8.0,,,,,,7,10,3,7,0,,0
"(58, 74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,25.0,Electrical Engineering,5.0,,,,2.0,3.0,1.0,Spain,"30,100",,5.0,7.0,2.0,Ph.D. Electrical Engineering,5.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0,9.0,2.0,30.0,0.0,30.0,30.0,10.0,0.0,,,,,,,30.0,0.0,10.0,30.0,10.0,20.0,7.0,9.0,9.0,8.0,7.0,,,,,,2,10,3,7,0,,1
"(58, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,24.0,law,1.0,,,,6.0,3.0,3.0,Philadelphia,"33,511",40753.0,6.0,5.0,3.0,attorney,1.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0,5.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,,,,,,,15.0,15.0,15.0,20.0,20.0,15.0,7.0,7.0,8.0,8.0,8.0,,,,,,8,10,3,7,0,,0
"(59, 66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,29.0,Business & International Affairs,8.0,,,,3.0,1.0,1.0,Mexico,"11,000",,2.0,6.0,4.0,Private Equity Investing,7.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0,5.0,3.0,20.0,25.0,15.0,15.0,53.0,20.0,,,,,,,15.0,20.0,20.0,20.0,10.0,15.0,6.0,7.0,7.0,8.0,8.0,,,,,,10,10,3,8,0,,0
"(59, 67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,22.0,Law,1.0,,,,6.0,1.0,1.0,"Torrance, CA","90,503",47559.0,6.0,5.0,2.0,Lawyer or professional surfer,1.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,5.0,1.0,20.0,15.0,20.0,20.0,5.0,10.0,,,,,,,17.0,20.0,17.0,20.0,11.0,15.0,5.0,7.0,6.0,7.0,7.0,,,,,,6,10,3,8,0,,0
"(59, 68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,27.0,MFA Creative Writing,6.0,,,,1.0,1.0,1.0,"St. Louis, MO","63,034",53539.0,5.0,4.0,3.0,novelist,6.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,5.0,2.0,21.0,17.0,22.0,20.0,8.0,13.0,,,,,,,18.0,15.0,17.0,14.0,20.0,16.0,6.0,8.0,7.0,8.0,8.0,,,,,,1,10,3,8,0,,0
"(59, 69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,28.0,MBA,8.0,,,,2.0,2.0,2.0,"London, UK",0,,6.0,6.0,1.0,banker,7.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,3.0,0.0,50.0,10.0,30.0,10.0,0.0,0.0,,,,,,,20.0,10.0,40.0,20.0,10.0,0.0,5.0,9.0,5.0,8.0,8.0,,,,,,2,10,3,8,0,,0
"(59, 70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,26.0,MBA,8.0,,,,2.0,5.0,1.0,"Boston, MA","53,705",32159.0,5.0,2.0,1.0,Investment Banking,7.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,3.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,,,,,,,20.0,5.0,25.0,30.0,15.0,5.0,8.0,6.0,8.0,9.0,6.0,,,,,,7,10,3,8,0,,0
"(59, 71)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,21.0,Law,1.0,,,,2.0,6.0,7.0,Minnesota,"55,345",53940.0,5.0,6.0,2.0,Pro Beach Volleyball,14.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,9.0,5.0,60.0,15.0,0.0,15.0,0.0,10.0,,,,,,,80.0,10.0,0.0,10.0,0.0,0.0,6.0,8.0,8.0,10.0,10.0,,,,,,5,10,3,8,0,,0
"(59, 72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,22.0,Engineering,5.0,,,,2.0,8.0,1.0,"Boston, MA","2,021",,5.0,6.0,1.0,Engineer or iBanker or consultant,7.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,9.0,21.0,20.0,19.0,20.0,10.0,10.0,,,,,,,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,8.0,8.0,,,,,,4,10,3,8,0,,0
"(59, 73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,22.0,MBA,8.0,,,,2.0,7.0,3.0,Chicago,"6,883",,6.0,4.0,2.0,Trading,7.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,2.0,4.0,30.0,10.0,20.0,30.0,0.0,10.0,,,,,,,20.0,10.0,20.0,30.0,10.0,10.0,7.0,7.0,8.0,7.0,8.0,,,,,,8,10,3,8,0,,0
"(59, 74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,25.0,Electrical Engineering,5.0,,,,2.0,3.0,1.0,Spain,"30,100",,5.0,7.0,2.0,Ph.D. Electrical Engineering,5.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0,9.0,2.0,30.0,0.0,30.0,30.0,10.0,0.0,,,,,,,30.0,0.0,10.0,30.0,10.0,20.0,7.0,9.0,9.0,8.0,7.0,,,,,,3,10,3,8,0,,0
"(59, 75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,24.0,law,1.0,,,,6.0,3.0,3.0,Philadelphia,"33,511",40753.0,6.0,5.0,3.0,attorney,1.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0,5.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,,,,,,,15.0,15.0,15.0,20.0,20.0,15.0,7.0,7.0,8.0,8.0,8.0,,,,,,9,10,3,8,0,,0
"(60, 66)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,8,10,29.0,Business & International Affairs,8.0,,,,3.0,1.0,1.0,Mexico,"11,000",,2.0,6.0,4.0,Private Equity Investing,7.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0,5.0,3.0,20.0,25.0,15.0,15.0,53.0,20.0,,,,,,,15.0,20.0,20.0,20.0,10.0,15.0,6.0,7.0,7.0,8.0,8.0,,,,,,8,10,3,6,0,0.16,1
"(60, 67)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,4,10,22.0,Law,1.0,,,,6.0,1.0,1.0,"Torrance, CA","90,503",47559.0,6.0,5.0,2.0,Lawyer or professional surfer,1.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,5.0,1.0,20.0,15.0,20.0,20.0,5.0,10.0,,,,,,,17.0,20.0,17.0,20.0,11.0,15.0,5.0,7.0,6.0,7.0,7.0,,,,,,4,10,3,6,1,0.03,0
"(60, 68)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,9,10,27.0,MFA Creative Writing,6.0,,,,1.0,1.0,1.0,"St. Louis, MO","63,034",53539.0,5.0,4.0,3.0,novelist,6.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,5.0,2.0,21.0,17.0,22.0,20.0,8.0,13.0,,,,,,,18.0,15.0,17.0,14.0,20.0,16.0,6.0,8.0,7.0,8.0,8.0,,,,,,9,10,3,6,0,0.28,0
"(60, 69)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,10,10,28.0,MBA,8.0,,,,2.0,2.0,2.0,"London, UK",0,,6.0,6.0,1.0,banker,7.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,3.0,0.0,50.0,10.0,30.0,10.0,0.0,0.0,,,,,,,20.0,10.0,40.0,20.0,10.0,0.0,5.0,9.0,5.0,8.0,8.0,,,,,,10,10,3,6,0,0.12,0
"(60, 70)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,5,10,26.0,MBA,8.0,,,,2.0,5.0,1.0,"Boston, MA","53,705",32159.0,5.0,2.0,1.0,Investment Banking,7.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,3.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,,,,,,,20.0,5.0,25.0,30.0,15.0,5.0,8.0,6.0,8.0,9.0,6.0,,,,,,5,10,3,6,0,0.45,0
"(60, 71)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,3,10,21.0,Law,1.0,,,,2.0,6.0,7.0,Minnesota,"55,345",53940.0,5.0,6.0,2.0,Pro Beach Volleyball,14.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,9.0,5.0,60.0,15.0,0.0,15.0,0.0,10.0,,,,,,,80.0,10.0,0.0,10.0,0.0,0.0,6.0,8.0,8.0,10.0,10.0,,,,,,3,10,3,6,0,-0.34,0
"(60, 72)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,2,10,22.0,Engineering,5.0,,,,2.0,8.0,1.0,"Boston, MA","2,021",,5.0,6.0,1.0,Engineer or iBanker or consultant,7.0,8.0,3.0,7.0,10.0,6.0,6.0,7.0,2.0,9.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,4.0,7.0,9.0,21.0,20.0,19.0,20.0,10.0,10.0,,,,,,,30.0,15.0,10.0,20.0,10.0,15.0,7.0,9.0,8.0,8.0,8.0,,,,,,2,10,3,6,0,0.61,0
"(60, 73)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,6,10,22.0,MBA,8.0,,,,2.0,7.0,3.0,Chicago,"6,883",,6.0,4.0,2.0,Trading,7.0,9.0,9.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,4.0,1.0,2.0,4.0,30.0,10.0,20.0,30.0,0.0,10.0,,,,,,,20.0,10.0,20.0,30.0,10.0,10.0,7.0,7.0,8.0,7.0,8.0,,,,,,6,10,3,6,0,-0.13,0
"(60, 74)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,1,10,25.0,Electrical Engineering,5.0,,,,2.0,3.0,1.0,Spain,"30,100",,5.0,7.0,2.0,Ph.D. Electrical Engineering,5.0,8.0,3.0,5.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,2.0,9.0,10.0,8.0,8.0,3.0,5.0,9.0,2.0,30.0,0.0,30.0,30.0,10.0,0.0,,,,,,,30.0,0.0,10.0,30.0,10.0,20.0,7.0,9.0,9.0,8.0,7.0,,,,,,1,10,3,6,0,0.41,0
"(60, 75)",29.0,psychology,3.0,,,,6.0,3.0,10.0,New Jersey,"7,747",,4.0,6.0,2.0,comedienne,6.0,3.0,1.0,9.0,9.0,5.0,5.0,3.0,1.0,5.0,5.0,2.0,10.0,7.0,6.0,9.0,5.0,5.0,4.0,10.0,5.0,20.0,25.0,15.0,15.0,20.0,,,,,,,60.0,10.0,10.0,10.0,5.0,5.0,7.0,9.0,9.0,9.0,9.0,,,,,,7,10,24.0,law,1.0,,,,6.0,3.0,3.0,Philadelphia,"33,511",40753.0,6.0,5.0,3.0,attorney,1.0,8.0,2.0,8.0,7.0,7.0,7.0,7.0,5.0,9.0,8.0,8.0,5.0,7.0,6.0,8.0,5.0,5.0,5.0,1.0,20.0,20.0,20.0,20.0,10.0,10.0,,,,,,,15.0,15.0,15.0,20.0,20.0,15.0,7.0,7.0,8.0,8.0,8.0,,,,,,7,10,3,6,1,0.29,0
"(61, 66)",28.0,German Literature,7.0,,,,2.0,1.0,5.0,"Tuscaloosa, Alabama","35,404",23988.0,1.0,5.0,2.0,Academic,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,5.0,5.0,15.0,15.0,20.0,15.0,15.0,20.0,,,,,,,40.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,7.0,10.0,7.0,,,,,,1,10,29.0,Business & International Affairs,8.0,,,,3.0,1.0,1.0,Mexico,"11,000",,2.0,6.0,4.0,Private Equity Investing,7.0,4.0,2.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,8.0,6.0,4.0,8.0,4.0,6.0,4.0,2.0,5.0,3.0,20.0,25.0,15.0,15.0,53.0,20.0,,,,,,,15.0,20.0,20.0,20.0,10.0,15.0,6.0,7.0,7.0,8.0,8.0,,,,,,1,10,3,9,0,0.39,0
"(61, 67)",28.0,German Literature,7.0,,,,2.0,1.0,5.0,"Tuscaloosa, Alabama","35,404",23988.0,1.0,5.0,2.0,Academic,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,5.0,5.0,15.0,15.0,20.0,15.0,15.0,20.0,,,,,,,40.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,7.0,10.0,7.0,,,,,,7,10,22.0,Law,1.0,,,,6.0,1.0,1.0,"Torrance, CA","90,503",47559.0,6.0,5.0,2.0,Lawyer or professional surfer,1.0,9.0,9.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,3.0,9.0,9.0,9.0,2.0,1.0,5.0,1.0,20.0,15.0,20.0,20.0,5.0,10.0,,,,,,,17.0,20.0,17.0,20.0,11.0,15.0,5.0,7.0,6.0,7.0,7.0,,,,,,7,10,3,9,0,-0.04,0
"(61, 68)",28.0,German Literature,7.0,,,,2.0,1.0,5.0,"Tuscaloosa, Alabama","35,404",23988.0,1.0,5.0,2.0,Academic,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,5.0,5.0,15.0,15.0,20.0,15.0,15.0,20.0,,,,,,,40.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,7.0,10.0,7.0,,,,,,2,10,27.0,MFA Creative Writing,6.0,,,,1.0,1.0,1.0,"St. Louis, MO","63,034",53539.0,5.0,4.0,3.0,novelist,6.0,3.0,2.0,2.0,7.0,8.0,8.0,3.0,3.0,7.0,10.0,7.0,5.0,9.0,7.0,7.0,7.0,1.0,5.0,2.0,21.0,17.0,22.0,20.0,8.0,13.0,,,,,,,18.0,15.0,17.0,14.0,20.0,16.0,6.0,8.0,7.0,8.0,8.0,,,,,,2,10,3,9,0,0.8,0
"(61, 69)",28.0,German Literature,7.0,,,,2.0,1.0,5.0,"Tuscaloosa, Alabama","35,404",23988.0,1.0,5.0,2.0,Academic,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,5.0,5.0,15.0,15.0,20.0,15.0,15.0,20.0,,,,,,,40.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,7.0,10.0,7.0,,,,,,3,10,28.0,MBA,8.0,,,,2.0,2.0,2.0,"London, UK",0,,6.0,6.0,1.0,banker,7.0,10.0,7.0,5.0,5.0,3.0,2.0,1.0,3.0,9.0,8.0,2.0,4.0,7.0,6.0,7.0,2.0,1.0,3.0,0.0,50.0,10.0,30.0,10.0,0.0,0.0,,,,,,,20.0,10.0,40.0,20.0,10.0,0.0,5.0,9.0,5.0,8.0,8.0,,,,,,3,10,3,9,1,-0.18,0
"(61, 70)",28.0,German Literature,7.0,,,,2.0,1.0,5.0,"Tuscaloosa, Alabama","35,404",23988.0,1.0,5.0,2.0,Academic,2.0,1.0,1.0,5.0,10.0,10.0,10.0,5.0,1.0,5.0,10.0,6.0,10.0,10.0,8.0,10.0,8.0,7.0,5.0,5.0,15.0,15.0,20.0,15.0,15.0,20.0,,,,,,,40.0,12.0,12.0,12.0,12.0,12.0,7.0,10.0,7.0,10.0,7.0,,,,,,8,10,26.0,MBA,8.0,,,,2.0,5.0,1.0,"Boston, MA","53,705",32159.0,5.0,2.0,1.0,Investment Banking,7.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,5.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,6.0,3.0,2.0,25.0,10.0,20.0,20.0,15.0,10.0,,,,,,,20.0,5.0,25.0,30.0,15.0,5.0,8.0,6.0,8.0,9.0,6.0,,,,,,8,10,3,9,1,0.14,0
